,Makanan,Karbohidrat,Protein,Sayur,Pengolahan,Kelas
261,Hotang (Hotdog Kentang) / Sostang (Sosis Kentang),Lainnya,Ayam dan daging,Tidak,Goreng atau tumis,129
262,Timus Ubi,Lainnya,Ayam dan daging,Tidak,Goreng atau tumis,129
263,Burrito Ayam,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Panggang atau bakar,94
264,Hamburger Daging,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Panggang atau bakar,94
265,Pizza Daging Sapi,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Panggang atau bakar,94
266,Bakso Keju,"Tepung, Mie, dan Pasta",Lainnya,Ya,Rebus atau kukus,119
267,Gyoza,"Tepung, Mie, dan Pasta",Lainnya,Ya,Rebus atau kukus,119
268,Siomay Ayam Udang Dimsum,"Tepung, Mie, dan Pasta",Lainnya,Ya,Rebus atau kukus,119
269,Soun Kuah,"Tepung, Mie, dan Pasta",Lainnya,Ya,Rebus atau kukus,119
270,Bihun Kuah,"Tepung, Mie, dan Pasta",Lainnya,Ya,Rebus atau kukus,119
271,Kwetiau Kuah,"Tepung, Mie, dan Pasta",Lainnya,Ya,Rebus atau kukus,119
272,Ayam Bakar Lumajang,Tidak ada,Ayam dan daging,Ya,Panggang atau bakar,14
273,Ayam Panggang Pecel,Tidak ada,Ayam dan daging,Ya,Panggang atau bakar,14
274,Sepat Ayam,Tidak ada,Ayam dan daging,Ya,Panggang atau bakar,14
275,Nasi Briyani Ayam,Beras dan olahannya,Ayam dan daging,Ya,Rebus atau kukus,55
276,Rujak Cingur,Beras dan olahannya,Ayam dan daging,Ya,Rebus atau kukus,55
277,Ayam Kodok,Tidak ada,Ayam dan daging,Tidak,Lainnya,8
278,Dendeng Balado,Tidak ada,Ayam dan daging,Tidak,Lainnya,8
279,Empal Gepuk,Tidak ada,Ayam dan daging,Tidak,Lainnya,8
280,Ayam Hainan,Tidak ada,Ayam dan daging,Tidak,Lainnya,8
281,Tahu Campur,Beras dan olahannya,"Tahu, tempe, dan telur",Ya,Rebus atau kukus,71
282,Tahu Lontong,Beras dan olahannya,"Tahu, tempe, dan telur",Ya,Rebus atau kukus,71
283,Kupat Tahu Magelang,Beras dan olahannya,"Tahu, tempe, dan telur",Ya,Rebus atau kukus,71
284,Lontong Sayur Padang,Beras dan olahannya,"Tahu, tempe, dan telur",Ya,Rebus atau kukus,71
285,Nasi Bebek,Beras dan olahannya,Lainnya,Ya,Goreng atau tumis,77
286,Siomay Udang Kuah Kaldu,Lainnya,Ikan dan Seafood,Tidak,Rebus atau kukus,139
287,Batagor Kuah,"Tepung, Mie, dan Pasta",Lainnya,Ya,Goreng atau tumis,117
288,Capcay Goreng Jawa,"Tepung, Mie, dan Pasta",Lainnya,Ya,Goreng atau tumis,117
289,Nugget Sayur,"Tepung, Mie, dan Pasta",Lainnya,Ya,Goreng atau tumis,117
290,Soun Goreng,"Tepung, Mie, dan Pasta",Lainnya,Ya,Goreng atau tumis,117
291,Bihun Goreng Isi Special,"Tepung, Mie, dan Pasta",Lainnya,Ya,Goreng atau tumis,117
292,Sate Padang,Beras dan olahannya,Ayam dan daging,Tidak,Panggang atau bakar,50
293,Nasi Bakar Ati Ampela,Beras dan olahannya,Ayam dan daging,Tidak,Panggang atau bakar,50
294,Nasi Bakar Ayam Suwir,Beras dan olahannya,Ayam dan daging,Tidak,Panggang atau bakar,50
295,Lemper Ayam Bakar,Beras dan olahannya,Ayam dan daging,Tidak,Panggang atau bakar,50
296,Bistik Lidah Sapi,Lainnya,Ayam dan daging,Ya,Rebus atau kukus,135
297,Bistik Ayam,Lainnya,Ayam dan daging,Ya,Rebus atau kukus,135
298,Sop Saudara,Lainnya,Ayam dan daging,Ya,Rebus atau kukus,135
299,Empal Gentong,Lainnya,Ayam dan daging,Ya,Rebus atau kukus,135
300,Sayur Sop Ayam,Lainnya,Ayam dan daging,Ya,Rebus atau kukus,135
301,Soto Betawi,Lainnya,Ayam dan daging,Ya,Rebus atau kukus,135
302,Sop Manten,Lainnya,Ayam dan daging,Ya,Rebus atau kukus,135
303,Kebab,Lainnya,Ayam dan daging,Ya,Panggang atau bakar,134
304,Mie Kangkung Ayam,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Rebus atau kukus,95
305,Dim Sum Ceker Ayam,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Rebus atau kukus,95
306,Seblak Ceker,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Rebus atau kukus,95
307,Mie Sop Medan,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Rebus atau kukus,95
308,Beef Pho Vietnam,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Rebus atau kukus,95
309,Soto Kuah,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Rebus atau kukus,95
310,Soto Ambengan,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Rebus atau kukus,95
311,Bakso Lo Hoa,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Rebus atau kukus,95
312,Soto Ayam Bening,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Rebus atau kukus,95
313,Soto Ceker,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Rebus atau kukus,95
314,Tauto Pekalongan,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Rebus atau kukus,95
315,Soto Banjar,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Rebus atau kukus,95
316,Sop Bakso,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Rebus atau kukus,95
317,Soto Padang,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Rebus atau kukus,95
318,Soto Kudus,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Rebus atau kukus,95
319,Soto Ayam Kuning Lamongan,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Rebus atau kukus,95
320,Sroto Banyumas,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Rebus atau kukus,95
321,Soto Bandung,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Rebus atau kukus,95
322,Sempol Ikan Tenggiri,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Goreng atau tumis,97
323,Nugget Ikan,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Goreng atau tumis,97
324,Otak-Otak Goreng,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Goreng atau tumis,97
325,Cumi Goreng Tepung (Calamari),"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Goreng atau tumis,97
326,Udang Goreng Tepung (Ebi Furai),"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Goreng atau tumis,97
327,Amplang Krupuk Ikan,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Goreng atau tumis,97
328,Mie Goreng Aceh,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Goreng atau tumis,97
329,Takoyaki,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Goreng atau tumis,97
330,Panada,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Goreng atau tumis,97
331,Batagor Bandung,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Goreng atau tumis,97
332,Sala Lauak,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Goreng atau tumis,97
333,Peyek Udang,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Goreng atau tumis,97
334,Kerupuk Udang,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Goreng atau tumis,97
335,Pecel Ayam,Beras dan olahannya,Ayam dan daging,Ya,Goreng atau tumis,53
336,Ayam Nanking,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Goreng atau tumis,93
337,Ayam Kuluyuk,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Goreng atau tumis,93
338,Chicken Cordon Bleu,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Goreng atau tumis,93
339,Pad Thai,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Goreng atau tumis,93
340,Roti Tawar Goreng Isi Ragout,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Goreng atau tumis,93
341,Karipap (Curry Puff),"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Goreng atau tumis,93
342,Pastel Isi Ayam,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Goreng atau tumis,93
343,Misoa Goreng,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Goreng atau tumis,93
344,Rolade Daging Sapi,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Goreng atau tumis,113
345,Bakso Udang Goreng,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Goreng atau tumis,113
346,Bola Bola Udang Roti,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Goreng atau tumis,113
347,Rolade Ikan,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Goreng atau tumis,113
348,Oncom Goreng,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Goreng atau tumis,113
349,Telur Gulung Sosis,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Goreng atau tumis,113
350,Jamur Krispi,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Goreng atau tumis,113
351,Jamur Enoki Krispi Goreng,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Goreng atau tumis,113
352,Bola Bola Mie,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Goreng atau tumis,113
353,Mie Shirataki Goreng,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Goreng atau tumis,113
354,Indomie Goreng,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Goreng atau tumis,113
355,Mie Gomak Goreng,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Goreng atau tumis,113
356,Mie Goreng Jawa,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Goreng atau tumis,113
357,Makaroni Goreng,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Goreng atau tumis,113
358,Bakso Goreng (Basreng),"Tepung, Mie, dan Pasta",Lainnya,Tidak,Goreng atau tumis,113
359,Pilus Cikur,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Goreng atau tumis,113
360,Oreo Goreng,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Goreng atau tumis,113
361,Sate Lilit,Tidak ada,Ikan dan Seafood,Tidak,Panggang atau bakar,18
362,Ikan Mas Bakar,Tidak ada,Ikan dan Seafood,Tidak,Panggang atau bakar,18
363,Salmon Mentai,Tidak ada,Ikan dan Seafood,Tidak,Panggang atau bakar,18
364,Tuna Bakar Kecap,Tidak ada,Ikan dan Seafood,Tidak,Panggang atau bakar,18
365,Sate Bandeng,Tidak ada,Ikan dan Seafood,Tidak,Panggang atau bakar,18
366,Patin Bakar,Tidak ada,Ikan dan Seafood,Tidak,Panggang atau bakar,18
367,Sate Kerang,Tidak ada,Ikan dan Seafood,Tidak,Panggang atau bakar,18
368,Ikan Gurame Bakar Bumbu Bali,Tidak ada,Ikan dan Seafood,Tidak,Panggang atau bakar,18
369,Bandeng Bakar,Tidak ada,Ikan dan Seafood,Tidak,Panggang atau bakar,18
370,Sate Ikan Tongkol,Tidak ada,Ikan dan Seafood,Tidak,Panggang atau bakar,18
371,Ikan Gurame Bakar Madu,Tidak ada,Ikan dan Seafood,Tidak,Panggang atau bakar,18
372,Ikan Bawal Bakar,Tidak ada,Ikan dan Seafood,Tidak,Panggang atau bakar,18
373,Lele Bakar,Tidak ada,Ikan dan Seafood,Tidak,Panggang atau bakar,18
374,Udang Bakar Madu,Tidak ada,Ikan dan Seafood,Tidak,Panggang atau bakar,18
375,Ikan Mujair Bakar Kecap,Tidak ada,Ikan dan Seafood,Tidak,Panggang atau bakar,18
376,Cumi Bakar Kecap,Tidak ada,Ikan dan Seafood,Tidak,Panggang atau bakar,18
377,Ikan Nila Bakar,Tidak ada,Ikan dan Seafood,Tidak,Panggang atau bakar,18
378,Ikan Kembung Bakar Padang,Tidak ada,Ikan dan Seafood,Tidak,Panggang atau bakar,18
379,Selat Solo,Lainnya,Lainnya,Ya,Lainnya,156
380,Nasi Bakar Ayam Kemangi,Beras dan olahannya,Ayam dan daging,Ya,Panggang atau bakar,54
381,Nasi Gandul,Beras dan olahannya,Ayam dan daging,Tidak,Lainnya,48
382,Nasi Tim Bayi,Beras dan olahannya,Ayam dan daging,Tidak,Lainnya,48
383,Bubur Ayam Cianjur,Beras dan olahannya,Ayam dan daging,Tidak,Lainnya,48
384,Bubur Ayam Cirebon,Beras dan olahannya,Ayam dan daging,Tidak,Lainnya,48
385,Nasi Kebuli Ayam,Beras dan olahannya,Ayam dan daging,Tidak,Lainnya,48
386,Bubur Ayam,Beras dan olahannya,Ayam dan daging,Tidak,Lainnya,48
387,Nasi Krawu,Beras dan olahannya,Ayam dan daging,Tidak,Lainnya,48
388,Nasi Kebuli Kambing,Beras dan olahannya,Ayam dan daging,Tidak,Lainnya,48
389,Nasi Tim Ayam,Beras dan olahannya,Ayam dan daging,Tidak,Lainnya,48
390,Nasi Lemak Lengkap,Beras dan olahannya,Ayam dan daging,Tidak,Lainnya,48
391,Koloke Ayam,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Lainnya,92
392,Cwie Mie Malang,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Lainnya,92
393,Mie Ayam Bangka,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Lainnya,92
394,Mie Ayam Solo,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Lainnya,92
395,Mie Yamin Bandung,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Lainnya,92
396,Soto Sokaraja,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Lainnya,92
397,Soto Pacitan,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Lainnya,92
398,Soto Sulung,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Lainnya,92
399,Zuppa Soup,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Lainnya,92
400,Roti John,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Lainnya,92
401,Ikan Mas Pindang,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
402,Ikan Bandeng Asam Manis,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
403,Ikan Bandeng Pepes,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
404,Ikan Bandeng Gulai,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
405,Pepes Ikan Tongkol,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
406,Gulai Ikan Mas,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
407,Gulai Ikan Nila,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
408,Pepes Ikan Nila,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
409,Ikan Selar Bumbu Kuning,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
410,Ikan Nila Asam Manis,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
411,Rajungan Saus Padang,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
412,Pindang Bumbu Sarden,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
413,Kerang Hijau Balado,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
414,Kerang Dara Saus Pedas,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
415,Udang Saus Padang,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
416,Gulai Ikan Tongkol,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
417,Udang Saus Inggris,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
418,Kerang Hijau Rebus,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
419,Tenggiri Lempah Kuning,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
420,Ikan Bawal Bumbu Kuning,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
421,Kakap Bumbu Kuning,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
422,Kepiting Saus Padang,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
423,Gulai Kakap,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
424,Pindang Serani,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
425,Pepes Udang,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
426,Ikan Salem Bumbu Sarden,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
427,Salmon Teriyaki,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
428,Kerang Dara Rebus,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
429,Ikan Tenggiri Bumbu Kuning,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
430,Pepes Peda,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
431,Gulai Aceh Ikan Tongkol,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
432,Tim Ikan Kakap,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
433,Ikan Tongkol Bumbu Kuning,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
434,Pindang Tongkol Balado,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
435,Asam Padeh Ikan Patin,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
436,Cumi Asam Manis Basah,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
437,Sarden Homemade,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
438,Ikan Asap Santan,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
439,Palumara Bandeng,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
440,Asam Padeh Ikan Tongkol,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
441,Semur Bandeng,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
442,Ikan Kakap Asam Manis,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
443,Pepes Ikan Mas Khas Sunda,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
444,Ikan Woku Belanga,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
445,Gulai Ikan Tenggiri,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
446,Udang Saos Tiram,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
447,Cumi Saus Padang,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
448,Pepes Ikan Kembung,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
449,Pepes Ikan Teri Basah,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
450,Pecak Gurame,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
451,Kepiting Saus Tiram,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
452,Cumi Saus Tiram,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
453,Kerang Hijau Saus Tiram Pedas,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
454,Asem Asem Bandeng,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
455,Mangut Lele,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
456,Ikan Patin Bumbu Kuning,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
457,Pindang Patin,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
458,Gulai Kepala Ikan Kakap,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
459,Kotokan Ikan Pe Lombok Ijo,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
460,Ikan Tongkol Bumbu Sarden,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
461,Pindang Bandeng,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
462,Kerang Saus Padang,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
463,Tumis Cumi Hitam,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
464,Pepes Telur Ikan,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
465,Botok,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
466,Sup Ikan Gabus,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
467,Sup Jagung Kepiting,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
468,Sup Ikan Gurame,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
469,Sup Ikan Kakap,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus,19
470,Ikan Mujair Goreng,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis,17
471,Ikan Bandeng Goreng,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis,17
472,Ikan Mas Goreng,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis,17
473,Ikan Nila Goreng,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis,17
474,Belut Goreng,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis,17
475,Tongkol Suwir Lombok Ijo,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis,17
476,Rajungan Asam Manis,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis,17
477,Tulang Jambal Cabe,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis,17
478,Udang Cabe Garam,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis,17
479,Lele Goreng Kremes,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis,17
480,Ikan Salai Asap Balado,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis,17
481,Sambal Tongkol,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis,17
482,Gurame Bumbu Rujak,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis,17
483,Cakalang Fufu Pampis,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis,17
484,Sambal Goreng Kentang Udang,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis,17
485,Cumi Goreng Mentega,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis,17
486,Kerang Dara Asam Manis,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis,17
487,Ikan Kerapu Asam Manis,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis,17
488,Udang Goreng Mentega,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis,17
489,Balado Ikan Kembung,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis,17
490,Abon Ikan Tongkol,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis,17
491,Udang Asam Manis,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis,17
492,Abon Tuna,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis,17
493,Ikan Gurame Asam Manis,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis,17
494,Sambal Goreng Kering Teri Kacang,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis,17
495,Ikan Kembung Goreng Bumbu Kuning,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis,17
496,Cumi Telur Asin,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis,17
497,Udang Telur Asin,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis,17
498,Cumi Asin Cabe Hijau,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis,17
499,Kepiting Lada Hitam,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis,17
500,Sambal Teri,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis,17
501,Sambal Tempoyak Udang,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis,17
502,Ikan Mas Pesmol,Tidak ada,Ikan dan Seafood,Tidak,Lainnya,16
503,Ikan Kembung Pesmol,Tidak ada,Ikan dan Seafood,Tidak,Lainnya,16
504,Pesmol Ikan Nila,Tidak ada,Ikan dan Seafood,Tidak,Lainnya,16
505,Ikan Bandeng Presto,Tidak ada,Ikan dan Seafood,Tidak,Lainnya,16
506,Sambal Cumi,Tidak ada,Ikan dan Seafood,Tidak,Lainnya,16
507,Sambal Tuk Tuk,Tidak ada,Ikan dan Seafood,Tidak,Lainnya,16
508,Sambal Bada,Tidak ada,Ikan dan Seafood,Tidak,Lainnya,16
